Back,Back
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
Delete,Delete
"Save Category","Save Category"
"Are you sure you want to delete this question?","Are you sure you want to delete this question?"
"Save and Send Email","Save and Send Email"
"Save Question","Save Question"
Home,Home
"Go to Home Page","Go to Home Page"
"Search Results","Search Results"
"We can't find a category to delete.","We can't find a category to delete."
"The category has been deleted.","The category has been deleted."
"Edit Category: %1","Edit Category: %1"
"This category no longer exists.","This category no longer exists."
"New Category","New Category"
FAQ,FAQ
"FAQ Categories","FAQ Categories"
"A total of %1 category(ies) have been deleted.","A total of %1 category(ies) have been deleted."
"A total of %1 category(ies) have been updated.","A total of %1 category(ies) have been updated."
"The category has been saved.","The category has been saved."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"We can't find a question to delete.","We can't find a question to delete."
"The question has been deleted.","The question has been deleted."
"Edit Question: %1","Edit Question: %1"
"This question no longer exists.","This question no longer exists."
"New Question","New Question"
"FAQ Questions","FAQ Questions"
"A total of %1 question(s) have been deleted.","A total of %1 question(s) have been deleted."
"A total of %1 question(s) have been updated.","A total of %1 question(s) have been updated."
"The question has been saved.","The question has been saved."
"Something went wrong while saving the question.","Something went wrong while saving the question."
"The notification email was not sent: user notifications are disabled in configuration (Stores > Configuration > Magendoo Extensions > FAQ > User Notifications).","The notification email was not sent: user notifications are disabled in configuration (Stores > Configuration > Magendoo Extensions > FAQ > User Notifications)."
"The notification email was not sent: the question has no sender email address.","The notification email was not sent: the question has no sender email address."
"Answer notification email has been sent.","Answer notification email has been sent."
"The question was saved but the notification email could not be sent. Check the FAQ email sender and template configuration and the error log.","The question was saved but the notification email could not be sent. Check the FAQ email sender and template configuration and the error log."
"The question was saved but the notification email failed: %1","The question was saved but the notification email failed: %1"
"FAQ Search Terms","FAQ Search Terms"
"Invalid request parameters.","Invalid request parameters."
"Thank you for your feedback!","Thank you for your feedback!"
"Your vote could not be recorded.","Your vote could not be recorded."
"Search Results for: %1","Search Results for: %1"
"Invalid form key. Please refresh the page.","Invalid form key. Please refresh the page."
"Please log in to submit a question.","Please log in to submit a question."
"Your question has been submitted and will be reviewed by our team.","Your question has been submitted and will be reviewed by our team."
"Something went wrong while submitting your question. Please try again.","Something went wrong while submitting your question. Please try again."
"Tag: %1","Tag: %1"
"No results found for your search query.","No results found for your search query."
"FAQ category with id ""%1"" does not exist.","FAQ category with id ""%1"" does not exist."
"FAQ category with URL key ""%1"" does not exist in store ""%2"".","FAQ category with URL key ""%1"" does not exist in store ""%2""."
"Please fill in all required fields.","Please fill in all required fields."
"Please enter a valid email address.","Please enter a valid email address."
"You must agree to the privacy policy before submitting your question.","You must agree to the privacy policy before submitting your question."
"Could not save the question: %1","Could not save the question: %1"
"Please provide a star rating between 1 and 5.","Please provide a star rating between 1 and 5."
"Invalid vote type.","Invalid vote type."
"Please log in to rate this question.","Please log in to rate this question."
"You have already rated this question.","You have already rated this question."
"FAQ question with URL key ""%1"" does not exist in store ""%2"".","FAQ question with URL key ""%1"" does not exist in store ""%2""."
"FAQ answer notification failed, question %1 not found: %2","FAQ answer notification failed, question %1 not found: %2"
"Failed to log FAQ search term: %1","Failed to log FAQ search term: %1"
"FAQ question with id ""%1"" does not exist.","FAQ question with id ""%1"" does not exist."
Enabled,Enabled
Disabled,Disabled
"Sidebar Left","Sidebar Left"
"Sidebar Right","Sidebar Right"
"No Sidebar","No Sidebar"
Pending,Pending
Answered,Answered
Rejected,Rejected
None,None
Public,Public
"Logged In Only","Logged In Only"
"Yes / No","Yes / No"
Voting,Voting
"Average Rating","Average Rating"
"INDEX, FOLLOW","INDEX, FOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"Short Answer","Short Answer"
"Cut Full Answer","Cut Full Answer"
Facebook,Facebook
Twitter,Twitter
LinkedIn,LinkedIn
Pinterest,Pinterest
Email,Email
Position,Position
Name,Name
"Most Viewed","Most Viewed"
"FAQ tag with id ""%1"" does not exist.","FAQ tag with id ""%1"" does not exist."
"The URL key ""%1"" is already used by another page (%2). Please choose a different URL key.","The URL key ""%1"" is already used by another page (%2). Please choose a different URL key."
"The URL key ""%1"" is already used by another page. Please choose a different URL key.","The URL key ""%1"" is already used by another page. Please choose a different URL key."
"No such question.","No such question."
Edit,Edit
"Delete Category","Delete Category"
"Delete Question","Delete Question"
"Read More","Read More"
"No questions in this category yet.","No questions in this category yet."
"Search FAQ...","Search FAQ..."
Search,Search
"No FAQ categories available.","No FAQ categories available."
"No questions yet for this product.","No questions yet for this product."
"Ask a Question","Ask a Question"
"* Required Fields","* Required Fields"
"Your Name","Your Name"
"Your Question","Your Question"
"Submit Question","Submit Question"
"/ 5","/ 5"
"Rate this answer","Rate this answer"
"Rate this answer:","Rate this answer:"
"Rate %1 out of 5","Rate %1 out of 5"
"Thumbs up","Thumbs up"
Helpful,Helpful
"Thumbs down","Thumbs down"
"Not helpful","Not helpful"
"Was this helpful?","Was this helpful?"
Yes,Yes
No,No
Share:,Share:
"Share on %1","Share on %1"
Tags,Tags
"No questions with this tag.","No questions with this tag."
"New FAQ Question Submitted","New FAQ Question Submitted"
"A new question has been submitted to your FAQ:","A new question has been submitted to your FAQ:"
From:,From:
Question:,Question:
"Log in to the admin panel to review and answer this question.","Log in to the admin panel to review and answer this question."
"Your Question Has Been Answered","Your Question Has Been Answered"
"Hi %name,","Hi %name,"
"Thank you for submitting your question. Here is the answer:","Thank you for submitting your question. Here is the answer:"
"Your question:","Your question:"
"Our answer:","Our answer:"
"Please %1 to ask a question.","Please %1 to ask a question."
"log in","log in"
"Manage Categories","Manage Categories"
"View Categories","View Categories"
"Edit Categories","Edit Categories"
"Delete Categories","Delete Categories"
"Manage Questions","Manage Questions"
"View Questions","View Questions"
"Edit Questions","Edit Questions"
"Delete Questions","Delete Questions"
"Approve Questions","Approve Questions"
"Search Terms Report","Search Terms Report"
"FAQ Configuration","FAQ Configuration"
"Magendoo Extensions","Magendoo Extensions"
"General Settings","General Settings"
"Enable FAQ","Enable FAQ"
"FAQ Title","FAQ Title"
"URL Prefix","URL Prefix"
"URL key for the FAQ landing page (e.g. ""faq"")","URL key for the FAQ landing page (e.g. ""faq"")"
"Allow Guest Questions","Allow Guest Questions"
Navigation,Navigation
"Show Breadcrumbs","Show Breadcrumbs"
"Sort Categories By","Sort Categories By"
"Sort Questions By","Sort Questions By"
"Answer Length Limit","Answer Length Limit"
"Maximum number of characters for short answer display","Maximum number of characters for short answer display"
"Show Search Box","Show Search Box"
"No Results Text","No Results Text"
"Questions Per Category Page","Questions Per Category Page"
"Questions Per Search Page","Questions Per Search Page"
"Short Answer Behavior","Short Answer Behavior"
"Tags Limit","Tags Limit"
"Maximum number of tags shown in the FAQ tag cloud. Set 0 for no limit.","Maximum number of tags shown in the FAQ tag cloud. Set 0 for no limit."
"Product Page","Product Page"
"Enable FAQ on Product Page","Enable FAQ on Product Page"
"Tab Name","Tab Name"
"Tab Position","Tab Position"
"Show Ask Button","Show Ask Button"
"Questions Limit","Questions Limit"
Rating,Rating
"Enable Rating","Enable Rating"
"Rating Type","Rating Type"
"Allow Guest Rating","Allow Guest Rating"
"Social Sharing","Social Sharing"
"Enable Social Sharing","Enable Social Sharing"
"Social Networks","Social Networks"
SEO,SEO
"Enable URL Suffix","Enable URL Suffix"
"URL Suffix","URL Suffix"
"Remove Trailing Slash","Remove Trailing Slash"
"Use Canonical URL","Use Canonical URL"
"Enable Structured Data (JSON-LD)","Enable Structured Data (JSON-LD)"
"Robots Meta for Search Results","Robots Meta for Search Results"
"Add to Sitemap","Add to Sitemap"
"Enable Hreflang Tags","Enable Hreflang Tags"
"Sitemap Frequency","Sitemap Frequency"
"Sitemap Priority","Sitemap Priority"
"User Notifications","User Notifications"
"Enable User Notifications","Enable User Notifications"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Admin Notifications","Admin Notifications"
"Enable Admin Notifications","Enable Admin Notifications"
"Send To","Send To"
"Comma-separated email addresses","Comma-separated email addresses"
GDPR,GDPR
"Enable GDPR Consent","Enable GDPR Consent"
"Consent Text","Consent Text"
"Enable for FAQ Ask a Question Form","Enable for FAQ Ask a Question Form"
"FAQ Questions List","FAQ Questions List"
"Displays a list of FAQ questions, optionally filtered by category","Displays a list of FAQ questions, optionally filtered by category"
"Block Title","Block Title"
"FAQ Category ID (leave empty for all)","FAQ Category ID (leave empty for all)"
"Number of Questions","Number of Questions"
"Show Answer Preview","Show Answer Preview"
Template,Template
List,List
Accordion,Accordion
"FAQ Categories List","FAQ Categories List"
"Displays a list of FAQ categories with links","Displays a list of FAQ categories with links"
"Show Question Count","Show Question Count"
Default,Default
"FAQ Search Box","FAQ Search Box"
"Displays a FAQ search form","Displays a FAQ search form"
"Placeholder Text","Placeholder Text"
"Category Information","Category Information"
"URL Key","URL Key"
"Page Title","Page Title"
Description,Description
Icon,Icon
"Store Views","Store Views"
"Customer Groups","Customer Groups"
"Restrict this category to the selected customer groups. Leave empty to show it to all customers.","Restrict this category to the selected customer groups. Leave empty to show it to all customers."
"Search Engine Optimization","Search Engine Optimization"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Canonical URL","Canonical URL"
Noindex,Noindex
Nofollow,Nofollow
"Exclude from Sitemap","Exclude from Sitemap"
"Add New Category","Add New Category"
"Are you sure you want to delete selected categories?","Are you sure you want to delete selected categories?"
Enable,Enable
Disable,Disable
ID,ID
Status,Status
Created,Created
"Question Information","Question Information"
Title,Title
Visibility,Visibility
"Show Full Answer","Show Full Answer"
"Hide Direct URL","Hide Direct URL"
Answer,Answer
"Full Answer","Full Answer"
"Customer Information","Customer Information"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Customer ID","Customer ID"
"Restrict this question to the selected customer groups. Leave empty to show it to all customers.","Restrict this question to the selected customer groups. Leave empty to show it to all customers."
"Assign to FAQ Categories","Assign to FAQ Categories"
"Select one or more FAQ categories where this question should appear.","Select one or more FAQ categories where this question should appear."
"Related Products","Related Products"
"Product IDs (comma-separated)","Product IDs (comma-separated)"
"Enter one or more product entity IDs separated by commas. Example: 1,24,57. The question will appear on the ""Product Questions"" tab on each listed product's page.","Enter one or more product entity IDs separated by commas. Example: 1,24,57. The question will appear on the ""Product Questions"" tab on each listed product's page."
"Cross-reference this question on the selected tag pages and in the tag cloud.","Cross-reference this question on the selected tag pages and in the tag cloud."
"Add New Question","Add New Question"
"Are you sure you want to delete selected questions?","Are you sure you want to delete selected questions?"
"Mark as Answered","Mark as Answered"
"Mark as Pending","Mark as Pending"
"Make Public","Make Public"
Hide,Hide
"View Count","View Count"
"Search Query","Search Query"
"Store View","Store View"
"Results Count","Results Count"
Hits,Hits
"Product Questions","Product Questions"
